01/12/12	28.20	51.650	52626	fill	pioneer
01/12/17	32.69	55.505	53079	fill	shell
01/12/24	32.97	58.044	53558	fill	petrocan
02/01/01	29.62	52.610	53966	fill	pioneer
02/01/08	30.91	56.610	54441	fill	pioneer
02/01/14	30.89	55.352	54908	fill	shell
02/01/19	20.97	36.593	55211	fill	esso
02/01/25	20.00	36.230	55700	no	pioneer
02/01/26	17.49	31.851	55816	fill	esso
02/02/01	30.20	52.152	56280	fill	shell
02/02/05	21.97	41.528	56611	fill	petrocan
02/02/12	20.00	33.395	57084	no	shell
02/02/14	24.95	42.436	57265	fill	petrocan
02/02/19	29.57	52.330	57709	fill	pioneer
02/02/25	27.33	49.788	58117	fill	shell
02/03/01	26.10	45.080	58494	fill	petrocan
02/03/04	31.30	57.330	59000	fill	pioneer
02/03/10	33.52	53.380	59480	fill	petrocan
02/03/14	36.59	56.376	59968	fill	shell
02/03/21	35.90	53.900	60412	fill	sunoco
02/03/26	20.00	30.816	60869	no	shell
02/03/28	27.26	36.881	60959	fill	petrocan
02/04/06	30.16	42.415	61285	fill	esso
02/04/13	36.12	53.591	61737	fill	shell
02/04/18	13.86	21.362	61899	fill	shell
02/04/18	15.72	10.777	62405	fill	usa
02/04/19	13.00	10.326	62821	fill	usa
02/04/20	16.58	11.362	63316	fill	usa
02/04/26	36.39	56.780	63859	fill	cantire
02/05/03	28.82	44.689	64244	fill	petrocan
02/05/11	32.40	48.281	64674	fill	esso
02/05/18	25.00	36.344	65152	no	esso
02/05/25	20.00	29.624	65518	no	shell
02/05/31	22.93	37.981	65629	fill	shell
02/06/08	19.60	29.039	65821	fill	esso
02/06/22	30.82	45.662	66179	fill	petrocan
02/06/28	19.99	31.677	66625	no	petrocan
02/07/02	21.09	35.688	66737	fill	sunoco
02/07/15	20.00	30.355	67094	no	prtrocan
02/07/25	20.00	29.028	67307	no	shell
02/07/27	25.00	36.288	67495	no	r&p
02/08/04	34.62	49.820	67785	fill	cantire
02/08/15	26.22	39.430	68058	fill	cantire
02/08/24	20.01	28.384	68476	no	petrocan
02/09/07	28.84	42.047	69056	fill	pioneer
02/09/16	34.85	53.620	69468	fill	pioneer
02/09/23	29.34	44.722	69873	fill	pioneer
